id;numvoie;typevoie;libvoie;cp;commune
PC07238018Z000301-0;31 bi;RUE;Doucelles;72170;VIVOIN
PC07238018Z000301-2;;;LE DOMAINE DU PUITS;;VIVOIN
PC07238021Z0005-0;1;PLACE;CATOIS RONCIN;72170;MEURCE
PC07238021Z0005-2;2;;RUE DE BEAUMONT;72170;VIVOIN
PC07238021Z0006-0;;LIEU-;LA CAVE;72170;VIVOIN
PC07238021Z0006-2;;;LA CAVE;72170;VIVOIN
PC07238021Z0008-0;;LIEU-;LE BOISNIERE;72170;VIVOIN
PC07238021Z0008-2;;LIEU-;LA BOISNIERE;72170;VIVOIN
PC07238021Z0009-0;;;L ORBEAU;72170;VIVOIN
PC07238021Z0009-2;;;LE PRE DE L ORBEAU;72170;VIVOIN
PC07238221Z0003-0;7;PLACE;DE LA MAIRIE;72250;CHALLES
PC07238221Z0003-2;4;;RUELLE DE LA BARRE;72440;VOLNAY
PD07202321Z0002-0;;;LA VILLE FOURNIER;72290;BALLON- SAINT MARS
PD07202321Z0002-2;;;LA VILLE FOURNIER;72290;BALLON - SAINT MARS
PD07202421Z2039-0;17;;RUE DU FRENE;72650;LA BAZOGE
PD07202421Z2039-2;17;;RUE DU FRENE;72650;LA BAZOGE
PD07204221Z0001-2;5773;;ROUTE DE LA BUTTE;72440;BOULOIRE
PD07204321Z0001-0;44-46;;rue des Plantagenêt;72610;BOURG LE ROI
PD07204321Z0001-2;40;;RUE DES PLANTAGENETS;72610;BOURG LE ROI
PD07208921Z0001-0;31;RUE;DE NEUVILLALAIS;72240;CONLIE
PD07208921Z0001-1;31;RUE;DE NEUVILLALAIS;72240;CONLIE
PD07208921Z0001-2;31;;RUE DE NEUVILLALAIS;72240;CONLIE
PD07212421Z0004-0;;PLACE;DU GENERAL DE GAULLE;72220;ECOMMOY
PD07212421Z0004-2;;;ALLÉE DE FONTENAILLES;72220;ECOMMOY
PD07214721Z0003-0;10;RUE;de l'Epine;72380;LA GUIERCHE
PD07214721Z0003-2;10;RUE;de l'Epine;72380;LA GUIERCHE
PD07220021Z0001-0;17;RUE;Jean FOUASSIER;72230;MONCE EN BELIN
PD07220021Z0001-2;17;;RUE JEAN FOUASSIER;72230;MONCE EN BELIN
PD07226821Z0001-0;;;Le Petit Loret;72222;Saint Biez en Belin
PD07226821Z0001-2;;;CHEMIN DU LORET;72220;SAINT BIEZ EN BELIN
PD07227521Z0001-0;32;;GRANDE RUE - PLACE DE L'EG;72460;SAINT-CORNEILLE
PD07227521Z0001-2;;;LE GRAND SABLON;72460;SAINT-CORNEILLE
PD07230621Z0001-0;1;PLACE;DES COMTES DE BELIN;72220;SAINT OUEN EN BELIN
PD07230621Z0001-1;1;PLACE;DES COMTES DE BELIN;72220;SAINT OUEN EN BELIN
PD07230621Z0001-2;1;;PLACE DES COMTES DE BELIN;72220;SAINT OUEN EN BELIN
PD07233721Z0002-0;;;LA GIRAUDIERE;72130;SAINT OUEN DE MIMBRE
PD07233721Z0002-2;6;;RUE DE LA GRAND MARE;72130;SOUGE LE GANELON
PD07235121Z0001-0;;;MAIRIE, 16 rue ANDREE LE G;72240;TENNIE
PD07235121Z0001-2;21;;RUE ANDREE LE GROU;72240;TENNIE
PD07236121D0001-0;1;LIEU-;Baillé;72440;
PD07236121D0001-2;;LIEU-;BAILLE;72240;TRESSON
PD07238021Z0003-0;;LIEU-;LA CAVE;72170;VIVOIN
PD07238021Z0003-2;;;LA CAVE;72170;VIVOIN
